# X values | Y values
0.000000000000000000e+00 | 5.949626650864026089e+00
1.000000000000000000e+00 | 3.067436137733923207e+00
2.000000000000000000e+00 | 4.412621600392908405e+00
3.000000000000000000e+00 | 2.422917520259675328e-01
4.000000000000000000e+00 | 7.852278594673913759e-01
5.000000000000000000e+00 | 2.012914418834345298e+00
6.000000000000000000e+00 | 2.319632256717006236e+00
7.000000000000000000e+00 | 9.106017436563567102e-01
8.000000000000000000e+00 | 3.363482615386140573e+00
9.000000000000000000e+00 | 3.750921648706274425e+00
1.000000000000000000e+01 | 3.196261276577807564e-01
1.100000000000000000e+01 | 3.911826386986783088e+00
1.200000000000000000e+01 | 4.546909189553332453e+00
1.300000000000000000e+01 | 1.190254679029788765e+00
1.400000000000000000e+01 | 5.126675321464613688e+00
1.500000000000000000e+01 | 3.416189221923791486e+00
1.600000000000000000e+01 | 1.876074060975525537e+00
1.700000000000000000e+01 | 6.525819709317017825e-01
1.800000000000000000e+01 | 4.700623052182275607e-01
1.900000000000000000e+01 | 5.652890285995692210e+00
2.000000000000000000e+01 | 5.217849402551138382e+00
2.100000000000000000e+01 | 4.079164176390286833e+00
2.200000000000000000e+01 | 6.706347636237404153e-01
2.300000000000000000e+01 | 1.366240069397655299e+00
2.400000000000000000e+01 | 4.980921397453533572e+00
2.500000000000000000e+01 | 2.868858535147593258e+00
2.600000000000000000e+01 | 3.643379984311279074e-01
2.700000000000000000e+01 | 4.982038626601288378e-01
2.800000000000000000e+01 | 2.652498321670723413e+00
2.900000000000000000e+01 | 5.145115080064496027e+00
3.000000000000000000e+01 | 9.225711715829545412e-01
3.100000000000000000e+01 | 1.244718588540694171e+00
3.200000000000000000e+01 | 3.903439845490523474e+00
3.300000000000000000e+01 | 5.186732472935633886e+00
3.400000000000000000e+01 | 2.349240739397862043e-01
3.500000000000000000e+01 | 4.847011988339064104e+00
3.600000000000000000e+01 | 5.173929197659759005e-01
3.700000000000000000e+01 | 3.584704931416318185e+00
3.800000000000000000e+01 | 1.227435241635904895e+00
3.900000000000000000e+01 | 4.694219723036805902e+00
4.000000000000000000e+01 | 4.017825035059920502e+00
4.100000000000000000e+01 | 2.625642748327136289e+00
4.200000000000000000e+01 | 8.275344705749994034e-01
4.300000000000000000e+01 | 4.761359070132546556e+00
4.400000000000000000e+01 | 2.053724672158700137e+00
4.500000000000000000e+01 | 2.603006014946419366e+00
4.600000000000000000e+01 | 6.378869494172780819e-01
4.700000000000000000e+01 | 8.352932775860306691e-01
4.800000000000000000e+01 | 1.334634000124585329e+00
4.900000000000000000e+01 | 1.786882151387626960e+00
5.000000000000000000e+01 | 4.540956435931780888e+00
5.100000000000000000e+01 | 3.376668317214080339e+00
5.200000000000000000e+01 | 5.208543925499046878e+00
5.300000000000000000e+01 | 2.635118420571214592e+00
5.400000000000000000e+01 | 5.281423546568685623e+00
5.500000000000000000e+01 | 2.572835849914286044e+00
5.600000000000000000e+01 | 4.787528771159820451e+00
5.700000000000000000e+01 | 5.353489127038564277e+00
5.800000000000000000e+01 | 2.699372306644808539e+00
5.900000000000000000e+01 | 4.214487022811777450e+00
6.000000000000000000e+01 | 1.393765221903781493e+00
6.100000000000000000e+01 | 4.648652886221222857e+00
6.200000000000000000e+01 | 1.164026751968449513e+00
6.300000000000000000e+01 | 3.742702048128268899e+00
6.400000000000000000e+01 | 3.341601613394376891e+00
6.500000000000000000e+01 | 1.617475749522570228e+00
6.600000000000000000e+01 | 2.512925666673394343e+00
6.700000000000000000e+01 | 2.248050329288897586e+00
6.800000000000000000e+01 | 3.177691329911812357e+00
6.900000000000000000e+01 | 4.264533517942618701e+00
7.000000000000000000e+01 | 5.458232114963399439e+00
7.100000000000000000e+01 | 1.113856980358300275e+00
7.200000000000000000e+01 | 1.639026482709585286e+00
7.300000000000000000e+01 | 4.565587477062932997e+00
7.400000000000000000e+01 | 4.157743647121993291e+00
7.500000000000000000e+01 | 3.032004139099866435e-01
7.600000000000000000e+01 | 4.584517896987121865e+00
7.700000000000000000e+01 | 1.712274158607627328e-01
7.800000000000000000e+01 | 2.977044980624578230e+00
7.900000000000000000e+01 | 2.345234735191742637e+00
8.000000000000000000e+01 | 2.079322913450728727e+00
8.100000000000000000e+01 | 4.635394508847083372e+00
8.200000000000000000e+01 | 3.333215909716354286e+00
8.300000000000000000e+01 | 2.676903079583231815e+00
8.400000000000000000e+01 | 5.967442578458852509e+00
8.500000000000000000e+01 | 1.015328690595749928e+00
8.600000000000000000e+01 | 5.312038326207934702e+00
8.700000000000000000e+01 | 2.968177755904850557e-01
8.800000000000000000e+01 | 5.218071735724362448e+00
8.900000000000000000e+01 | 4.598413878134582689e+00
9.000000000000000000e+01 | 5.942626142565051062e+00
9.100000000000000000e+01 | 1.437144389670295785e+00
9.200000000000000000e+01 | 3.526826611300020176e-01
9.300000000000000000e+01 | 4.091310520303317766e+00
9.400000000000000000e+01 | 2.154300797674243206e+00
9.500000000000000000e+01 | 3.027909543503542800e+00
9.600000000000000000e+01 | 2.038697690880352464e+00
9.700000000000000000e+01 | 1.044272376065710217e+00
9.800000000000000000e+01 | 8.804250575419052538e-01
9.900000000000000000e+01 | 8.172472163151849323e-01
1.000000000000000000e+02 | 1.948394136975382107e+00
1.010000000000000000e+02 | 5.064145813162523879e+00
1.020000000000000000e+02 | 2.737579034862715588e+00
