time	biomass
0	1
0.1	1.018
0.2	1.036
0.3	1.054
0.4	1.073
0.5	1.091
0.6	1.111
0.7	1.13
0.8	1.15
0.9	1.171
1	1.191
1.1	1.212
1.2	1.234
1.3	1.255
1.4	1.278
1.5	1.3
1.6	1.323
1.7	1.346
1.8	1.37
1.9	1.394
2	1.419
2.1	1.444
2.2	1.47
2.3	1.496
2.4	1.522
2.5	1.549
2.6	1.576
2.7	1.604
2.8	1.632
2.9	1.661
3	1.69
3.1	1.72
3.2	1.751
3.3	1.782
3.4	1.813
3.5	1.845
3.6	1.878
3.7	1.911
3.8	1.944
3.9	1.979
4	2.014
4.1	2.049
4.2	2.085
4.3	2.122
4.4	2.16
4.5	2.198
4.6	2.237
4.7	2.276
4.8	2.316
4.9	2.357
5	2.399
5.1	2.441
5.2	2.484
5.3	2.528
5.4	2.573
5.5	2.618
5.6	2.664
5.7	2.711
5.8	2.759
5.9	2.808
6	2.858
6.1	2.908
6.2	2.959
6.3	3.012
6.4	3.065
6.5	3.119
6.6	3.174
6.7	3.23
6.8	3.287
6.9	3.345
7	3.404
7.1	3.464
7.2	3.525
7.3	3.588
7.4	3.651
7.5	3.715
7.6	3.781
7.7	3.848
7.8	3.916
7.9	3.985
8	4.055
8.1	4.127
8.2	4.2
8.3	4.274
8.4	4.349
8.5	4.426
8.6	4.504
8.7	4.584
8.8	4.665
8.9	4.747
9	4.831
9.1	4.916
9.2	5.003
9.3	5.091
9.4	5.181
9.5	5.272
9.6	5.366
9.7	5.46
9.8	5.557
9.9	5.655
10	5.755
10.1	5.856
10.2	5.96
10.3	6.065
10.4	6.172
10.5	6.281
10.6	6.392
10.7	6.505
10.8	6.619
10.9	6.736
11	6.855
11.1	6.976
11.2	7.099
11.3	7.225
11.4	7.352
11.5	7.482
11.6	7.614
11.7	7.749
11.8	7.885
11.9	8.025
12	8.166
12.1	8.31
12.2	8.457
12.3	8.606
12.4	8.758
12.5	8.913
12.6	9.07
12.7	9.23
12.8	9.393
12.9	9.559
13	9.728
13.1	9.9
13.2	10.074
13.3	10.252
13.4	10.433
13.5	10.617
13.6	10.805
13.7	10.996
13.8	11.19
13.9	11.387
14	11.588
14.1	11.793
14.2	12.001
14.3	12.213
14.4	12.429
14.5	12.648
14.6	12.871
14.7	13.099
14.8	13.33
14.9	13.565
15	13.805
15.1	14.048
15.2	14.296
15.3	14.549
15.4	14.806
15.5	15.067
15.6	15.333
15.7	15.604
15.8	15.879
15.9	16.159
16	16.445
16.1	16.735
16.2	17.03
16.3	17.331
16.4	17.637
16.5	17.948
16.6	18.265
16.7	18.588
16.8	18.916
16.9	19.25
17	19.59
17.1	19.935
17.2	20.287
17.3	20.646
17.4	21.01
17.5	21.381
17.6	21.758
17.7	22.143
17.8	22.533
17.9	22.931
18	23.336
