time	biomass
0	1.54
0.1	0.03
0.2	1.12
0.3	0.92
0.4	0.95
0.5	0.72
0.6	1.49
0.7	1.21
0.8	1.52
0.9	1.41
1	1.67
1.1	0.7
1.2	1.04
1.3	0.14
1.4	0.47
1.5	1.64
1.6	1.9
1.7	0.74
1.8	1.16
1.9	1.08
2	1.62
2.1	2
2.2	1.58
2.3	0.51
2.4	1.39
2.5	2.02
2.6	1.43
2.7	1.65
2.8	1.81
2.9	1.64
3	1.77
3.1	2.08
3.2	1.58
3.3	1.1
3.4	1.08
3.5	0.89
3.6	1.2
3.7	0.94
3.8	1.05
3.9	0.99
4	2.96
4.1	2.72
4.2	2.06
4.3	2.38
4.4	1.24
4.5	1.87
4.6	2.06
4.7	2.97
4.8	2.38
4.9	1.46
5	1.89
5.1	1.63
5.2	2.34
5.3	1.87
5.4	1.06
5.5	2.41
5.6	2.39
5.7	2.68
5.8	2.82
5.9	2.65
6	2.16
6.1	1.97
6.2	2.25
6.3	2.57
6.4	3.08
6.5	2.25
6.6	2.91
6.7	1.99
6.8	2.74
6.9	2.76
7	2.84
7.1	2.69
7.2	3.34
7.3	3.56
7.4	2.82
7.5	2.78
7.6	3.33
7.7	3.28
7.8	2.58
7.9	2.87
8	3.54
8.1	3.19
8.2	3.15
8.3	3.29
8.4	3.18
8.5	3.84
8.6	3.4
8.7	3.37
8.8	3.09
8.9	4.33
9	3.58
9.1	4.41
9.2	3.95
9.3	4.21
9.4	3.89
9.5	3.68
9.6	4.16
9.7	4.28
9.8	5.22
9.9	4.09
10	5.25
10.1	4.75
10.2	4.67
10.3	3.45
10.4	5.7
10.5	4.53
10.6	5.39
10.7	6.24
10.8	5.62
10.9	5.31
11	5.36
11.1	4.88
11.2	5.31
11.3	5.12
11.4	5.7
11.5	5.98
11.6	5.54
11.7	5
11.8	6.29
11.9	5.24
12	5.96
12.1	6.47
12.2	5.37
12.3	6.62
12.4	6.16
12.5	6.18
12.6	6.43
12.7	7.06
12.8	6.79
12.9	6.17
13	6.29
13.1	8.04
13.2	7.08
13.3	7.42
13.4	6.84
13.5	7.8
13.6	7.62
13.7	7.22
13.8	7.67
13.9	8.93
14	8.29
14.1	8.33
14.2	8.1
14.3	7.35
14.4	7.83
14.5	9.45
14.6	9.11
14.7	7.91
14.8	9.65
14.9	9.51
15	9.39
15.1	9.11
15.2	9.86
15.3	9.4
15.4	11.19
15.5	9.98
15.6	9.89
15.7	10.71
15.8	10.43
15.9	11.52
16	10.73
16.1	10.3
16.2	11.57
16.3	12.02
16.4	11.76
16.5	11.94
16.6	11.85
16.7	11.9
16.8	13.88
16.9	13.12
17	14.45
17.1	13.24
17.2	12.57
17.3	13.89
17.4	14.52
17.5	13.02
17.6	14.46
17.7	14.12
17.8	14.59
17.9	13.84
18	15.03
