time	biomass
0	1.81
0.1	1.92
0.2	0.73
0.3	2.54
0.4	1.91
0.5	2.88
0.6	2.75
0.7	1.82
0.8	2.3
0.9	1
1	2.77
1.1	2.68
1.2	2.65
1.3	2.96
1.4	2.14
1.5	2.48
1.6	2.21
1.7	2.37
1.8	2.21
1.9	3.89
2	3.25
2.1	3.44
2.2	1.07
2.3	1.62
2.4	2.95
2.5	2.5
2.6	2.13
2.7	4.01
2.8	4.12
2.9	2.42
3	3.26
3.1	4.27
3.2	3.75
3.3	2.68
3.4	4.52
3.5	3.45
3.6	3.85
3.7	1.9
3.8	3.84
3.9	3.79
4	4.67
4.1	2.68
4.2	2.81
4.3	2.61
4.4	3.16
4.5	4.65
4.6	3.46
4.7	3.06
4.8	5.51
4.9	4.99
5	3.31
5.1	6.61
5.2	5.4
5.3	5.68
5.4	4.33
5.5	5.59
5.6	6.6
5.7	5.61
5.8	6.31
5.9	4.73
6	8.12
6.1	6.73
6.2	4.99
6.3	7.59
6.4	7.47
6.5	4.12
6.6	5.82
6.7	5.55
6.8	6
6.9	7.76
7	6.9
7.1	7.93
7.2	7.79
7.3	6.53
7.4	8.82
7.5	7.96
7.6	7.3
7.7	8.21
7.8	8.49
7.9	9.22
8	7.39
8.1	10.51
8.2	6.83
8.3	10.47
8.4	9.03
8.5	10.3
8.6	9.88
8.7	10.65
8.8	13.45
8.9	9.29
9	12.86
9.1	11.85
9.2	8.66
9.3	12.56
9.4	11.23
9.5	12.02
9.6	14.79
9.7	16.42
9.8	14.95
9.9	13.78
10	15.87
10.1	11.46
10.2	18.76
10.3	17.06
10.4	10.26
10.5	14.31
10.6	18.93
10.7	15.39
10.8	14.55
10.9	19.97
11	19.45
11.1	14.85
11.2	13.84
11.3	16.55
11.4	15.09
11.5	21.23
11.6	18.31
11.7	25.52
11.8	19.22
11.9	22.07
12	21.17
12.1	20.24
12.2	21.14
12.3	29.09
12.4	21.39
12.5	19.29
12.6	20.27
12.7	21.1
12.8	26.44
12.9	19.9
13	31.22
13.1	27.97
13.2	28.45
13.3	29.23
13.4	26.07
13.5	20.13
13.6	20.14
13.7	23.29
13.8	31.77
13.9	26.07
14	34.18
14.1	34.83
14.2	26.75
14.3	24.02
14.4	35.5
14.5	29.85
14.6	45.98
14.7	32.87
14.8	47.5
14.9	35.59
15	49.09
15.1	30.16
15.2	56.63
15.3	43.26
15.4	40.02
15.5	50.72
15.6	27.95
15.7	53.2
15.8	42.43
15.9	35.08
16	47.75
16.1	53.43
16.2	47.72
16.3	37.6
16.4	58.2
16.5	49.71
16.6	52.75
16.7	67.68
16.8	84.18
16.9	60.48
17	58.97
17.1	66.06
17.2	58.96
17.3	78.63
17.4	90.51
17.5	64.76
17.6	56.32
17.7	63.93
17.8	48.16
17.9	81.08
18	82.05
