0	2785
60	2781
120	2715
180	2704
240	2755
300	2733
360	2736
420	2723
480	2770
540	2751
600	2766
660	2750
720	2755
780	2767
840	2827
900	2761
960	2750
1020	2747
1080	2790
1140	2768
1200	2763
1260	2754
1320	2769
1380	2755
1440	2701
1500	2752
1560	2766
1620	2743
1680	2761
1740	2753
1800	2749
1860	2740
1920	2767
1980	2772
2040	2758
2100	2754
2160	2768
2220	2736
2280	2768
2340	2800
2400	2768
2460	2762
2520	2763
2580	2758
2640	2729
2700	2742
2760	2742
2820	2755
2880	2752
2940	2761
3000	2745
3060	2742
3120	2753
3180	2757
3240	2791
3300	2725
3360	2777
3420	2720
3480	2796
3540	2704
3600	2771
3660	2746
3720	2719
3780	2698
3840	2749
3900	2756
3960	2762
4020	2758
4080	2773
4140	2752
4200	2765
4260	2800
4320	2769
4380	2750
4440	2786
4500	2736
4560	2763
4620	2736
4680	2725
4740	2736
4800	2750
4860	2754
4920	2714
4980	2736
5040	2731
5100	2749
5160	2767
5220	2761
5280	2767
5340	2760
5400	2752
5460	2753
5520	2803
5580	2784
5640	2763
5700	2742
5760	2758
5820	2743
5880	2768
5940	2736
6000	2749
6060	2751
6120	2763
6180	2736
6240	2757
6300	2741
6360	2761
6420	2737
6480	2743
6540	2717
6600	2705
6660	2750
6720	2763
6780	2706
6840	2763
6900	2740
6960	2762
7020	2752
7080	2738
7140	2765
7200	2736
7260	2759
7320	2783
7380	2750
7440	2784
7500	2737
7560	2747
7620	2771
7680	2759
7740	2749
7800	2755
7860	2731
7920	2768
7980	2704
8040	2750
8100	2763
8160	2736
8220	2755
8280	2734
8340	2732
8400	2733
8460	2742
8520	2753
8580	2750
8640	2797
8700	2747
8760	2737
8820	2736
8880	2783
8940	2718
9000	2749
9060	2727
9120	2735
9180	2736
9240	2744
9300	2738
9360	2733
9420	2727
9480	2753
9540	2747
9600	2781
9660	2732
9720	2738
9780	2717
9840	2736
9900	2769
9960	2760
10020	2781
10080	2720
10140	2717
10200	2715
10260	2739
10320	2704
10380	2752
10440	2727
10500	2718
10560	2764
10620	2736
10680	2743
10740	2736
10800	2750
10860	2748
10920	2755
10980	2689
11040	2734
11100	2716
11160	2723
11220	2741
11280	2723
11340	2727
11400	2735
11460	2726
11520	2727
11580	2748
11640	2749
11700	2727
11760	2720
11820	2736
11880	2738
11940	2733
12000	2740
12060	2718
12120	2719
12180	2727
12240	2731
12300	2690
12360	2736
12420	2733
12480	2746
12540	2738
12600	2749
12660	2698
12720	2734
12780	2719
12840	2761
12900	2707
12960	2724
13020	2731
13080	2739
13140	2735
13200	2737
13260	2722
13320	2730
13380	2734
13440	2718
13500	2716
13560	2737
13620	2733
13680	2741
13740	2709
13800	2726
13860	2734
13920	2734
13980	2723
14040	2735
14100	2719
14160	2735
